컨텐츠 아이디,공원 명,지번주소 코드,지번주소,도로명주소 코드,도로명주소,X좌표(LNG),Y좌표(LAT),컨텐츠상세필드명1,컨텐츠상세명11,컨텐츠상세필드명12,컨텐츠상세명12,컨텐츠상세필드명13,컨텐츠상세명13,컨텐츠상세필드명14,컨텐츠상세명14,컨텐츠상세필드명15,컨텐츠상세명15,컨텐츠상세필드명16,컨텐츠상세명16,컨텐츠상세필드명17,컨텐츠상세명17,컨텐츠상세필드명18,컨텐츠상세명18,컨텐츠상세필드명19,컨텐츠상세명19,컨텐츠상세필드명20,컨텐츠상세명20
용산구-신계역사공원-1,신계역사공원,1.12E+18,서울특별시 용산구 신계동 55,,서울특별시 용산구 청파로 139-25,126.9661111,37.53527778,공원명,,,,,,,,,,,,,,,,,,,
중구-쌍림어린이공원-1,쌍림어린이공원,,서울특별시 중구 광희동1가 240-2,,서울특별시 중구 퇴계로 303-3,127.0053056,37.56422222,공원명,,,,,,,,,,,,,,,,,,,
종로구-와룡공원-1,와룡공원,,서울특별시 종로구 명륜3가 1-1106,,서울특별시 종로구 명륜10길 30-8,126.9912222,37.59030556,공원명,,,,,,,,,,,,,,,,,,,
성북구-북악산근린공원-1,북악산근린공원,1.13E+18,서울특별시 성북구 성북동 226-65,,서울특별시 성북구 성북로31길 134,126.9892014,37.59237294,공원명,,,,,,,,,,,,,,,,,,,
성북구-북악산청소년체험의숲-1,북악산청소년체험의숲,1.13E+18,서울특별시 성북구 성북동 226-57,,서울특별시 성북구 성북로31길 126-9,126.9883205,37.59281866,공원명,,,,,,,,,,,,,,,,,,,
중부녹지-남산공원(한남자락)-2,남산공원(한남자락),1.12E+18,서울특별시 용산구 한남동 772-6,,,126.9979131,37.54162277,공원명,,,,,,,,,,,,,,,,,,,
중구-충현어린이공원-2,충현어린이공원,,서울특별시 중구 신당동 432-524,,서울특별시 중구 동호로11차길 1,127.0051527,37.55222392,공원명,,,,,,,,,,,,,,,,,,,
중구-충현어린이공원-1,충현어린이공원,,서울특별시 중구 신당동 432-524,,서울특별시 중구 동호로11차길 1,127.0051698,37.55220822,공원명,,,,,,,,,,,,,,,,,,,
서대문구-유아숲체험장-1,유아숲체험장,,서울특별시 서대문구 홍제동 산 1-168,,,126.953276,37.58900209,공원명,,,,,,,,,,,,,,,,,,,
중부녹지-남산공원(한남자락)-1,남산공원(한남자락),,서울특별시 용산구 한남동 772-14,,,126.9988889,37.54194444,공원명,,,,,,,,,,,,,,,,,,,
종로구-명륜어린이공원-1,명륜어린이공원,,서울특별시 종로구 명륜1가 23-9,,서울특별시 종로구 혜화로9길 24-9,126.9983056,37.58811111,공원명,,,,,,,,,,,,,,,,,,,
